,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
813,Hi,3.87,40,0.45,16,1.06,20,0.04,1,0.0,1003.67,5322,2063.24,23053,25796.17,251575,822049668.0
814,Hichki,13.06,337,2.9,32,0.48,9,0.23,5,0.19,580.95,5851,411306.62,17617631,59913.53,1049898,25629954.0
815,Hidden Figures,18.49,481,8.52,343,0.56,16,0.92,40,0.4,2563.78,44027,215888.01,10280601,51958.3,392108,230698791.0
816,Hidden Treasures in the Mountain,1.1666666666666667,2,0.5,2,0.5,1,0.0,0,0.16666666666666666,1144.5,3952,6844.333333333333,21018,11106.333333333334,21052,173871.0
817,High Above,6.41,215,1.05,28,0.83,26,0.19,5,0.07,3317.3,74972,9232.45,98429,38475.84,773434,127533.0
818,High Life,6.41,64,2.43,27,0.38,5,0.19,5,0.04,870.66,9420,13139.36,214165,45405.4,628225,2133033.0
819,High Society,4.14,55,0.55,8,0.58,13,0.08,2,0.06,1066.13,4763,275865.79,27126338,43122.59,326800,4300000.0
820,High Strung Free Dance,11.48,182,21.97,706,0.21,3,0.11,2,0.07,2534.82,42023,11951.36,310463,46412.9,624475,235066.0
821,Hillary: Ocean to Sky,3.0,6,0.8333333333333334,2,0.0,0,0.0,0,0.16666666666666666,1163.5,2865,58531.166666666664,314445,136732.83333333334,398362,70049.0
822,Hindi Medium,18.28,456,3.46,59,0.85,26,0.16,2,0.29,2153.47,146465,253000.83,6316769,70392.12,570122,52390000.0
823,His Daughter,19.33,1175,5.11,399,0.8,24,1.05,86,0.14,2308.21,40237,88468.41,4783701,81674.44,771598,40814.0
824,Hit the Road,17.6,637,1.18,39,0.6,6,0.05,1,0.1,3351.75,230877,58290.76,2870737,30650.83,403046,985853.0
825,Hitman's Wife's Bodyguard,6.19,174,0.49,4,0.48,4,0.05,1,0.08,1631.42,14454,15096.0,555492,39935.06,318903,70060492.0
826,Hollow Point,8.01,527,1.49,108,1.5,103,0.2,14,0.0,1114.81,7207,1905.05,42396,34859.29,285331,1000000.0
827,Hollow in the Land,9.99,125,4.47,51,0.25,8,0.3,4,0.08,919.91,24395,29910.27,755238,47053.07,487322,10688.0
828,Holmes & Watson,29.96,2226,3.16,223,1.52,68,0.33,13,0.18,5753.06,171282,647869.04,25656640,101820.52,1125220,40462793.0
829,Holy Camp!,4.65,62,1.53,18,0.31,4,0.36,10,0.04,1403.5,21725,6288.92,107138,47704.02,640538,2963886.0
830,Home Again,13.01,754,2.08,55,0.57,10,0.12,2,0.15,2009.97,75848,36616.11,882600,37249.32,328899,27020284.0
831,Homestay,18.71,212,14.65,159,0.23,4,0.17,4,0.01,352.71,4679,14102.54,195302,73527.3,432920,48701.0
832,Honest Thief,3.68,44,0.73,12,0.37,5,0.11,2,0.12,1783.39,19613,62964.99,2076446,41344.86,474694,31220247.0
833,Honey Bee 2: Celebrations,2.0,3,0.0,0,0.0,0,0.0,0,0.0,35.5,103,459.5,1630,1358.0,3691,640000.0
834,Honey Boy,23.99,471,4.94,237,0.7,16,0.47,10,0.23,4193.02,120922,451834.19,19400562,90187.22,2016501,3400977.0
835,Honeydew,4.12,49,0.62,14,0.61,15,0.14,1,0.07,2228.86,47814,43719.15,2701362,36614.02,462246,32890.0
836,Honeyland,10.79,179,3.69,91,0.31,9,0.36,16,0.31,1757.8,13534,85877.82,2701360,49724.71,648639,1133735.0
837,Honk for Jesus. Save Your Soul.,6.62,70,1.88,24,0.4,4,0.31,6,0.41,2679.16,50854,1211128.59,25657238,116789.61,1125282,2144225.0
